city,date,pm2_5,pm10,o3,no2,so2,co
Warsaw,2022-04-01,2.6635714285714287,3.239285714285714,78.31999999999998,7.74857142857143,8.267142857142856,286.34214285714285
Warsaw,2022-04-02,4.7629166666666665,5.493333333333333,73.52208333333334,9.017916666666666,10.755833333333333,302.35375
Warsaw,2022-04-03,11.500833333333333,13.555833333333334,71.64458333333333,13.651666666666669,16.185,349.36083333333335
Warsaw,2022-04-04,7.756666666666668,9.540416666666667,77.27833333333332,10.434583333333332,10.160416666666665,303.1891666666667
Warsaw,2022-04-05,4.225416666666667,5.233333333333333,80.55625,9.517916666666666,8.685,290.9495833333334
Warsaw,2022-04-06,11.009583333333333,13.282916666666667,32.1475,19.760416666666664,18.087499999999995,365.0779166666667
Warsaw,2022-04-07,6.87625,8.767083333333334,56.92291666666666,11.324583333333331,9.5,277.7383333333334
Warsaw,2022-04-08,2.297916666666667,3.1441666666666666,66.77166666666666,9.185416666666667,8.275,272.4533333333333
Warsaw,2022-04-09,5.541250000000001,6.7229166666666655,61.13875000000001,11.620416666666666,11.026250000000003,300.96416666666676
Warsaw,2022-04-10,4.343750000000001,5.666249999999999,68.96249999999999,8.864583333333334,7.8762500000000015,290.3945833333334
Warsaw,2022-04-11,13.851666666666667,17.04125,47.98208333333334,20.026250000000005,20.722916666666666,399.98708333333326
Warsaw,2022-04-12,39.73583333333333,47.29333333333333,32.74125,33.55125,63.80166666666667,664.6508333333333
Warsaw,2022-04-13,31.96041666666667,38.84041666666666,38.021249999999995,27.56083333333333,37.15333333333333,536.0045833333332
Warsaw,2022-04-14,20.381666666666668,24.10041666666666,64.19416666666667,18.82875,19.70458333333333,365.0779166666667
Warsaw,2022-04-15,21.317083333333333,23.74166666666667,52.45208333333332,16.309166666666666,14.7125,344.35625
Warsaw,2022-04-16,6.411666666666666,7.722916666666667,68.00833333333334,11.455,13.226666666666667,317.09708333333333
Warsaw,2022-04-17,8.852500000000001,10.830833333333333,63.59791666666667,15.327916666666667,16.97875,334.6195833333333
Warsaw,2022-04-18,11.954583333333334,15.439583333333337,53.27125000000001,19.288749999999997,20.463749999999997,384.41041666666666
Warsaw,2022-04-19,47.84375,53.430416666666666,45.42958333333334,30.870833333333334,93.10291666666667,747.8195833333333
Warsaw,2022-04-20,27.438333333333333,31.892916666666665,27.198750000000004,27.70416666666667,31.11874999999999,513.0575
Warsaw,2022-04-21,16.338333333333335,19.17291666666667,21.987916666666663,24.462500000000002,27.139583333333334,406.9412499999999
Warsaw,2022-04-22,13.601249999999999,16.60166666666667,43.63125,18.968749999999996,21.419999999999998,389.9729166666668
Warsaw,2022-04-23,6.868333333333335,8.491249999999999,54.44916666666668,12.648333333333332,12.876249999999999,303.18958333333325
Warsaw,2022-04-24,8.076666666666666,9.877499999999996,60.781666666666666,11.588333333333333,12.825000000000001,294.2879166666668
Warsaw,2022-04-25,6.668333333333334,8.18875,52.42291666666666,13.304166666666665,15.311250000000001,297.62625
Warsaw,2022-04-26,29.054999999999996,33.306666666666665,30.03833333333333,25.53625,35.116666666666674,507.0758333333334
Warsaw,2022-04-27,18.74,23.661666666666672,41.01541666666666,25.262499999999992,29.172500000000003,435.8687500000001
Warsaw,2022-04-28,23.127499999999998,28.47583333333333,40.76541666666666,27.8,36.786249999999995,479.4004166666667
Warsaw,2022-04-29,62.60916666666668,71.65958333333333,27.721666666666668,40.69166666666667,119.59708333333333,847.9558333333334
Warsaw,2022-04-30,80.79791666666665,90.04708333333333,41.196666666666665,36.815416666666664,58.43791666666666,861.7237500000001
Warsaw,2022-05-01,17.230416666666667,20.6875,51.36375,20.13,23.703333333333337,379.68125000000003
Warsaw,2022-05-02,29.925000000000008,35.60666666666666,39.95791666666666,27.94458333333333,44.17666666666667,492.05750000000006
Warsaw,2022-05-03,23.966250000000002,28.807500000000005,55.25625,25.324166666666667,34.3475,450.82
Warsaw,2022-05-04,8.810416666666669,11.418333333333331,58.80291666666667,14.88875,15.587083333333334,316.5399999999999
Warsaw,2022-05-05,4.2725,5.542083333333333,80.85291666666664,9.454583333333334,10.400833333333333,252.14750000000004
Warsaw,2022-05-06,12.455833333333333,14.669583333333335,54.32999999999999,15.19041666666667,14.488749999999998,294.42625000000004
Warsaw,2022-05-07,18.141666666666666,22.32416666666667,36.082916666666655,21.954166666666666,27.80125,429.88916666666677
Warsaw,2022-05-08,8.617916666666666,11.115000000000002,56.70916666666667,14.576250000000002,14.187499999999998,303.11958333333325
Warsaw,2022-05-09,4.700833333333334,6.427083333333333,68.8425,9.707083333333333,12.597500000000002,267.7233333333333
Warsaw,2022-05-10,15.20375,18.85166666666667,57.440416666666664,22.48375,31.943333333333328,406.52375
Warsaw,2022-05-11,14.909583333333332,17.973750000000003,58.36666666666667,21.437916666666666,22.507500000000004,344.3554166666667
Warsaw,2022-05-12,8.584583333333333,10.457499999999998,78.77,10.3925,14.008333333333335,278.2933333333333
Warsaw,2022-05-13,12.861666666666666,16.617083333333337,59.52624999999998,17.310000000000002,27.855833333333333,360.07083333333344
Warsaw,2022-05-14,3.8712499999999994,5.182083333333336,80.04958333333333,5.664583333333333,5.395833333333333,228.57416666666666
Warsaw,2022-05-15,5.462083333333333,7.790416666666665,74.32249999999998,9.540416666666667,12.115416666666667,272.1745833333333
Warsaw,2022-05-16,11.420000000000002,14.622499999999995,47.69750000000001,21.245000000000005,26.991666666666664,367.58125
Warsaw,2022-05-17,5.501666666666668,7.270833333333332,65.21583333333334,11.805000000000001,13.185833333333333,284.8300000000001
