date,pm2_5,pm10,o3,no2,so2,co,temp,pressure,humidity,wind_speed,clouds
2022-04-02,4.7629166666666700,5.493333333333330,73.52208333333330,9.017916666666670,10.755833333333300,302.35375,274.55,1006,61,6.17,0
2022-04-03,11.500833333333300,13.555833333333300,71.64458333333330,13.651666666666700,16.185,349.36083333333300,274.36,1012,63,4.12,0
2022-04-04,7.756666666666670,9.540416666666670,77.27833333333330,10.434583333333300,10.160416666666700,303.1891666666670,277.75,995,58,7.2,0
2022-04-05,4.225416666666670,5.233333333333330,80.55625,9.517916666666670,8.685,290.9495833333330,277.6,997,66,2.57,0
2022-04-06,11.009583333333300,13.282916666666700,32.1475,19.760416666666700,18.087500000000000,365.0779166666670,282.51,997,86,3.09,0
2022-04-07,6.87625,8.767083333333330,56.92291666666670,11.324583333333300,9.5,277.7383333333330,286.96,982,65,6.69,40
2022-04-08,2.297916666666670,3.1441666666666700,66.77166666666670,9.185416666666670,8.275,272.4533333333330,278.96,992,76,2.57,0
2022-04-09,5.541250000000000,6.7229166666666700,61.13875000000000,11.620416666666700,11.026250000000000,300.96416666666700,277.72,1002,61,2.57,0
2022-04-10,4.343750000000000,5.666250000000000,68.96250000000000,8.864583333333330,7.8762500000000000,290.3945833333330,275.51,1012,77,2.06,0
2022-04-11,13.851666666666700,17.04125,47.98208333333330,20.026250000000000,20.722916666666700,399.98708333333300,277.39,1016,80,2.06,20
2022-04-12,39.73583333333330,47.29333333333330,32.74125,33.55125,63.80166666666670,664.6508333333330,278.19,1020,57,1.03,0
2022-04-13,31.96041666666670,38.84041666666670,38.021250000000000,27.56083333333330,37.15333333333330,536.0045833333330,281.78,1019,53,1.34,0
2022-04-14,20.381666666666700,24.10041666666670,64.19416666666670,18.82875,19.70458333333330,365.0779166666670,286.84,1014,46,1.54,0
2022-04-15,21.317083333333300,23.74166666666670,52.45208333333330,16.309166666666700,14.7125,344.35625,281.23,1017,88,8.23,75
2022-04-16,6.411666666666670,7.722916666666670,68.00833333333330,11.455,13.226666666666700,317.09708333333300,279.49,1024,55,5.14,0
2022-04-17,8.852500000000000,10.830833333333300,63.59791666666670,15.327916666666700,16.97875,334.6195833333330,278.69,1016,48,2.06,0
2022-04-18,11.954583333333300,15.439583333333300,53.27125000000000,19.288750000000000,20.463750000000000,384.41041666666700,279.07,1010,65,3.09,20
2022-04-19,47.84375,53.430416666666700,45.42958333333330,30.870833333333300,93.10291666666670,747.8195833333330,278.22,1011,78,4.63,20
2022-04-20,27.438333333333300,31.892916666666700,27.198750000000000,27.70416666666670,31.11875000000000,513.0575,279.93,1009,94,3.6,100
2022-04-21,16.338333333333300,19.17291666666670,21.987916666666700,24.462500000000000,27.139583333333300,406.9412500000000,281.68,1009,84,1.54,20
2022-04-22,13.601250000000000,16.60166666666670,43.63125,18.968750000000000,21.420000000000000,389.9729166666670,280.02,1009,78,2.57,0
2022-04-23,6.868333333333340,8.491250000000000,54.44916666666670,12.648333333333300,12.876250000000000,303.18958333333300,281.67,1004,77,3.6,75
2022-04-24,8.076666666666670,9.877500000000000,60.781666666666700,11.588333333333300,12.825000000000000,294.2879166666670,283.61,1001,79,4.63,75
2022-04-25,6.668333333333330,8.18875,52.42291666666670,13.304166666666700,15.311250000000000,297.62625,282.16,1007,85,2.57,75
2022-04-26,29.055000000000000,33.306666666666700,30.03833333333330,25.53625,35.116666666666700,507.0758333333330,282.28,1017,81,2.06,0
2022-04-27,18.74,23.661666666666700,41.01541666666670,25.262500000000000,29.172500000000000,435.8687500000000,282.95,1022,67,2.57,0
2022-04-28,23.127500000000000,28.47583333333330,40.76541666666670,27.8,36.786250000000000,479.4004166666670,282.6,1026,63,2.06,0
2022-04-29,62.60916666666670,71.65958333333330,27.721666666666700,40.69166666666670,119.59708333333300,847.9558333333330,282.84,1023,75,1.03,0
2022-04-30,80.79791666666670,90.04708333333330,41.196666666666700,36.815416666666700,58.43791666666670,861.7237500000000,283.72,1020,57,1.03,0
2022-05-01,17.230416666666700,20.6875,51.36375,20.13,23.703333333333300,379.68125000000000,285.37,1015,61,1.03,0
2022-05-02,29.925000000000000,35.60666666666670,39.95791666666670,27.94458333333330,44.17666666666670,492.05750000000000,285.09,1013,64,1.54,0
2022-05-03,23.966250000000000,28.807500000000000,55.25625,25.324166666666700,34.3475,450.82,284.13,1015,61,3.6,0
2022-05-04,8.810416666666670,11.418333333333300,58.80291666666670,14.88875,15.587083333333300,316.5400000000000,284.03,1018,43,4.63,0
2022-05-05,4.2725,5.542083333333330,80.85291666666660,9.454583333333330,10.400833333333300,252.14750000000000,288.64,1018,51,4.12,0
2022-05-06,12.455833333333300,14.669583333333300,54.33000000000000,15.19041666666670,14.488750000000000,294.42625000000000,285.15,1020,68,1.54,0
2022-05-07,18.141666666666700,22.32416666666670,36.082916666666700,21.954166666666700,27.80125,429.88916666666700,286.84,1018,73,0.0,0
2022-05-08,8.617916666666670,11.115000000000000,56.70916666666670,14.576250000000000,14.187500000000000,303.11958333333300,285.92,1024,54,5.66,0
2022-05-09,4.700833333333330,6.427083333333330,68.8425,9.707083333333330,12.597500000000000,267.7233333333330,283.48,1024,43,3.09,0
2022-05-10,15.20375,18.85166666666670,57.440416666666700,22.48375,31.943333333333300,406.52375,286.37,1013,46,3.09,0
2022-05-11,14.909583333333300,17.973750000000000,58.36666666666670,21.437916666666700,22.507500000000000,344.3554166666670,292.68,1007,58,2.57,0
2022-05-12,8.584583333333330,10.457500000000000,78.77,10.3925,14.008333333333300,278.2933333333330,286.6,1014,63,2.57,0
